Exp Date,Last,Change,Bid,Ask,Volume,Open Int,Strike,Last_put,Change_put,Bid_put,Ask_put,Volume_put,Open Int_put
Nov-15,61.46,--,62.24,62.4,--,5,516,2.19,-0.81Ê,2.24,2.26,287,1800
Nov-15,60.47,--,61.3,61.46,--,8,517,2.27,-0.79Ê,2.3,2.32,84,2763
Nov-15,56.71,-3.54Ê,60.36,60.52,132,54,518,2.36,-0.83Ê,2.35,2.37,236,1291
Nov-15,58.03,0.99Ê,59.43,59.58,1,15,519,2.35,-0.89Ê,2.41,2.43,277,1375
Nov-15,58.34,5.33Ê,58.49,58.65,4,6091,520,2.44,-0.78Ê,2.47,2.48,3198,73091
Nov-15,51.87,--,57.56,57.71,--,27,521,2.48,-0.92Ê,2.53,2.55,303,2002
Nov-15,51.77,--,56.63,56.78,--,30,522,2.58,-0.93Ê,2.6,2.62,94,1719
Nov-15,54.78,--,55.7,55.85,--,30,523,2.58,-1.06Ê,2.66,2.68,1372,2898
Nov-15,50.29,--,54.77,54.93,--,89,524,2.67,-1.00Ê,2.73,2.75,221,1212
Nov-15,53.25,3.36Ê,53.85,54,5,2851,525,2.73,-0.92Ê,2.8,2.82,12154,55430
Nov-15,48.01,--,52.93,53.08,--,328,526,2.85,-0.90Ê,2.88,2.9,133,3111
Nov-15,48.98,--,52.01,52.16,--,1053,527,2.93,-0.92Ê,2.95,2.97,561,2261
Nov-15,46.43,--,51.09,51.24,--,556,528,2.95,-1.08Ê,3.03,3.05,184,3439
Nov-15,48.28,--,50.18,50.32,--,1219,529,3.09,-1.12Ê,3.11,3.13,371,2679
Nov-15,49.15,4.70Ê,49.26,49.41,62,2965,530,3.22,-1.04Ê,3.19,3.21,3899,37309
Nov-15,43.94,--,48.34,48.5,--,783,531,3.33,-0.95Ê,3.28,3.3,94,3898
Nov-15,43.75,--,47.45,47.59,--,1250,532,3.26,-1.33Ê,3.37,3.39,167,1362
Nov-15,44.91,3.57Ê,46.53,46.69,1,916,533,3.38,-1.36Ê,3.46,3.48,187,16737
Nov-15,40.66,--,45.64,45.79,--,789,534,3.53,-1.33Ê,3.55,3.58,167,5903
Nov-15,44.19,3.82Ê,44.75,44.89,5,1945,535,3.63,-1.14Ê,3.65,3.68,837,25897
Nov-15,39.48,--,43.85,43.99,--,952,536,3.63,-1.22Ê,3.75,3.78,245,2336
Nov-15,38.19,--,42.96,43.1,--,4041,537,3.83,-1.16Ê,3.86,3.89,298,14136
Nov-15,40.57,-0.18Ê,42.06,42.21,2,1026,538,3.99,-1.16Ê,3.96,3.99,380,7156
Nov-15,39.34,--,41.19,41.33,--,1178,539,4.05,-1.48Ê,4.08,4.1,233,2097
Nov-15,39.61,4.07Ê,40.31,40.45,20,4109,540,4.2,-1.29Ê,4.19,4.22,5500,63732
Nov-15,38.96,2.19Ê,39.43,39.57,3,841,541,4.31,-1.44Ê,4.31,4.34,5887,20598
Nov-15,36.92,2.72Ê,38.56,38.69,3,1453,542,4.4,-1.52Ê,4.43,4.46,190,12057
Nov-15,37.52,2.60Ê,37.69,37.82,3,1024,543,4.53,-1.39Ê,4.56,4.59,486,3043
Nov-15,35.67,3.66Ê,36.83,36.96,3,1043,544,4.66,-1.49Ê,4.69,4.72,326,11974
Nov-15,35.98,4.09Ê,35.97,36.1,24,4844,545,4.82,-1.45Ê,4.83,4.86,1275,20270
Nov-15,33.81,2.45Ê,35.11,35.24,7,1392,546,4.96,-1.63Ê,4.97,5,194,11399
Nov-15,31.49,2.10Ê,34.26,34.38,5,1581,547,5.09,-1.55Ê,5.11,5.14,334,2188
Nov-15,33.39,4.33Ê,33.41,33.53,4,1141,548,5.25,-1.68Ê,5.26,5.29,774,3284
Nov-15,30.02,1.20Ê,32.57,32.69,7,1132,549,5.41,-1.57Ê,5.41,5.44,599,2160
Nov-15,31.77,3.65Ê,31.73,31.85,207,3205,550,5.57,-1.66Ê,5.57,5.6,17623,44163
Nov-15,29.8,3.08Ê,30.89,31.01,1,1060,551,5.65,-1.88Ê,5.73,5.77,226,4222
Nov-15,30.07,4.53Ê,30.07,30.18,35,1586,552,5.89,-1.72Ê,5.9,5.94,194,2834
Nov-15,28,3.18Ê,29.24,29.36,8,1875,553,6.05,-1.99Ê,6.08,6.11,196,2791
Nov-15,27.97,3.62Ê,28.42,28.54,27,1546,554,6.24,-1.76Ê,6.25,6.29,71,1517
Nov-15,27.63,3.63Ê,27.61,27.72,213,8084,555,6.42,-1.89Ê,6.44,6.48,1576,32993
Nov-15,26.41,3.21Ê,26.81,26.91,33,1024,556,6.53,-1.93Ê,6.63,6.67,159,1908
Nov-15,26.03,4.10Ê,26.01,26.11,27,1139,557,6.76,-1.95Ê,6.83,6.87,193,3387
Nov-15,24.94,3.74Ê,25.21,25.31,24,2054,558,7.01,-2.03Ê,7.03,7.07,195,3820
Nov-15,24.42,3.11Ê,24.42,24.52,28,1644,559,7.26,-2.03Ê,7.24,7.28,302,3812
Nov-15,23.53,3.04Ê,23.64,23.74,300,4680,560,7.49,-2.05Ê,7.46,7.5,3343,68218
Nov-15,22.5,2.93Ê,22.86,22.96,27,2330,561,7.54,-2.29Ê,7.69,7.73,375,3854
Nov-15,21.06,2.17Ê,22.1,22.19,39,2076,562,7.95,-2.03Ê,7.92,7.96,840,3140
Nov-15,21.31,2.68Ê,21.33,21.42,51,4252,563,8.2,-2.20Ê,8.16,8.2,729,2839
Nov-15,19.17,1.95Ê,20.58,20.67,78,1391,564,8.35,-2.35Ê,8.4,8.45,298,5275
Nov-15,19.85,2.47Ê,19.84,19.92,265,4821,565,8.63,-2.33Ê,8.66,8.71,4208,12199
Nov-15,18.55,2.02Ê,19.1,19.19,92,1873,566,8.94,-2.36Ê,8.93,8.97,397,3538
Nov-15,18.1,2.18Ê,18.38,18.45,82,1914,567,9.14,-2.49Ê,9.2,9.25,562,1840
Nov-15,17.36,2.15Ê,17.66,17.73,256,4135,568,9.35,-2.73Ê,9.49,9.54,1533,2604
Nov-15,17.07,2.46Ê,16.95,17.02,478,2575,569,9.7,-2.65Ê,9.78,9.83,1477,3197
Nov-15,16.23,2.16Ê,16.25,16.31,1546,7643,570,10.11,-2.61Ê,10.09,10.14,6299,16063
Nov-15,15.45,2.35Ê,15.57,15.62,803,4483,571,10.4,-2.84Ê,10.41,10.46,632,2344
Nov-15,14.94,2.15Ê,14.89,14.95,809,3478,572,10.8,-3.30Ê,10.74,10.8,713,62528
Nov-15,14.35,2.31Ê,14.23,14.28,289,4587,573,11.08,-3.32Ê,11.08,11.14,519,2282
Nov-15,13.44,1.86Ê,13.57,13.63,1253,4735,574,11.36,-3.27Ê,11.44,11.5,98,4024
Nov-15,12.93,2.06Ê,12.94,12.99,1957,7990,575,11.79,-3.31Ê,11.81,11.87,446,5114
Nov-15,12.18,2.08Ê,12.31,12.37,625,5927,576,12.37,-2.88Ê,12.2,12.26,142,2310
Nov-15,11.67,2.15Ê,11.71,11.76,606,3422,577,14.16,-1.94Ê,12.6,12.67,16,1114
Nov-15,11.05,1.83Ê,11.11,11.16,300,2705,578,14.53,-2.67Ê,13.02,13.08,33,776
Nov-15,10.44,1.79Ê,10.53,10.58,278,1713,579,13.8,-1.45Ê,13.45,13.53,33,131
Nov-15,9.99,1.77Ê,9.97,10.01,3442,46187,580,13.83,-4.21Ê,13.9,14.05,151,958
Nov-15,9.39,1.96Ê,9.42,9.46,221,1504,581,14.4,-3.58Ê,14.16,14.58,10,761
Nov-15,8.85,1.63Ê,8.89,8.93,284,1534,582,18,--,14.64,15.09,--,85
Nov-15,8.25,1.40Ê,8.37,8.42,389,1671,583,15.35,-4.31Ê,15.15,15.7,10,102
Nov-15,7.78,1.35Ê,7.87,7.92,254,1601,584,18.8,-0.96Ê,15.67,16.1,20,52
Nov-15,7.38,1.44Ê,7.39,7.43,982,16049,585,16.43,-4.18Ê,16.32,16.65,178,214
Nov-15,6.85,1.24Ê,6.93,6.97,324,1511,586,18.37,-3.20Ê,16.77,17.22,2,16
Nov-15,6.44,1.29Ê,6.49,6.53,307,1674,587,20.85,-1.98Ê,17.36,17.95,2,26
Nov-15,5.9,1.41Ê,6.06,6.1,335,1250,588,18.32,-4.32Ê,17.97,18.57,10,1094
Nov-15,5.71,1.21Ê,5.65,5.69,266,1571,589,19,-4.44Ê,18.7,19.02,5,1713
Nov-15,5.3,1.18Ê,5.27,5.3,1292,11731,590,19.49,-3.75Ê,19.08,19.88,196,4136
Nov-15,4.89,1.09Ê,4.89,4.93,370,2558,591,19.99,-4.90Ê,19.76,20.56,227,2015
Nov-15,4.56,1.05Ê,4.55,4.58,883,2478,592,22,-3.52Ê,20.45,21.27,405,2573
Nov-15,4.14,0.89Ê,4.21,4.24,350,1226,593,22.94,-2.88Ê,21.18,22.01,97,1654
Nov-15,3.91,0.93Ê,3.89,3.93,377,1197,594,24.17,-3.74Ê,21.93,22.77,179,1356
Nov-15,3.6,0.87Ê,3.6,3.63,512,6052,595,23.99,-4.71Ê,23,23.54,90,1411
Nov-15,3.29,0.79Ê,3.31,3.35,149,1526,596,25.74,-3.26Ê,23.49,24.35,92,474
Nov-15,3.05,0.76Ê,3.05,3.08,311,5818,597,26.52,--,24.31,25.17,--,115
Nov-15,2.81,0.72Ê,2.8,2.83,428,2404,598,32,--,25.34,25.89,--,138
Nov-15,2.56,0.64Ê,2.57,2.6,196,1961,599,29.64,--,26.02,26.89,--,10
Nov-15,2.38,0.65Ê,2.36,2.38,2867,14249,600,27.4,-5.40Ê,26.9,27.78,28,173
Nov-15,2.15,0.52Ê,2.15,2.18,195,1520,601,32.41,--,27.81,28.69,--,--
Nov-15,1.94,0.47Ê,1.97,1.99,259,1682,602,32.38,--,28.73,29.62,--,--
Nov-15,1.47,0.40Ê,1.48,1.51,1157,10920,605,34.17,-2.29Ê,31.61,32.51,6,--
Nov-15,0.9,0.25Ê,0.91,0.93,796,6994,610,37.5,-4.49Ê,36.6,37.5,6,5
Nov-15,0.56,0.18Ê,0.55,0.56,227,4576,615,45.64,-2.12Ê,41.6,42.5,4,--
Nov-15,0.33,0.08Ê,0.33,0.34,145,11116,620,53.52,--,46.6,47.51,--,--
Nov-15,0.22,0.07Ê,0.21,0.22,28,2663,625,52.4,-5.11Ê,51.6,52.51,2,2
Nov-15,0.15,0.03Ê,0.14,0.15,41,1589,630,57.42,-5.05Ê,56.6,57.51,5,--
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,